IPEDS_ID,School,Longitude,Latitude,Programslist
100654, Alabama A & M University,-86.568502,34.783368,"Agricultural/Animal/Plant/Veterinary Science and Related Fields (Other), Animal Sciences (Other), Food Science, City/Urban/Community/Regional Planning, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Entrepreneurship/Entrepreneurial Studies, Finance (General), Logistics/Materials/Supply Chain Management, Marketing/Marketing Management (General), Communication and Media Studies (Other), Radio and Television Broadcasting Technology/Technician, Computer and Information Sciences (General), Early Childhood Education and Teaching, Education/Teaching of Individuals with Speech or Language Impairments, Educational Leadership and Administration (General), Elementary Education and Teaching, Physical Education Teaching and Coaching, Secondary Education and Teaching, Special Education and Teaching (General), Civil Engineering (General), Electrical and Electronics Engineering, Engineering (Other), Mechanical Engineering, Construction Engineering Technology/Technician, English Language and Literature (General), Family and Consumer Sciences/Human Sciences (General), SpeechLanguage Pathology/Pathologist, Criminal Justice/Law Enforcement Administration, General Studies, Mathematics (General), Forestry (Other), Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Chemistry (General), Physics (General), Physics (Other), Counseling Psychology, Psychology (General), Social Work, Political Science and Government (General), Sociology (General), Art/Art Studies (General), Music (General)"
100663, University of Alabama at Birmingham,-86.799345,33.505697,"AfricanAmerican/Black Studies, Bioinformatics, Biology/Biological Sciences (General), Biomedical Sciences (General), Biostatistics, Biotechnology, Cell/Cellular Biology and Histology, Epidemiology, Genetics (General), Human/Medical Genetics, Immunology, Microbiology (General), Molecular Biochemistry, Molecular Physiology, Neurobiology and Anatomy, Neuroscience, Oncology and Cancer Biology, Vision Science/Physiological Optics, Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Business/Managerial Economics, Entrepreneurship/Entrepreneurial Studies, Finance (General), Human Resources Management/Personnel Administration (General), Management Information Systems (General), Marketing/Marketing Management (General), Speech Communication and Rhetoric, Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Information Science/Studies, Art Teacher Education, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Educational Assessment/Testing/Measurement, Educational Leadership and Administration (General), Elementary Education and Teaching, Higher Education/Higher Education Administration, Physical Education Teaching and Coaching, Reading Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Bioengineering and Biomedical Engineering, Civil Engineering (General), Computer Engineering (General), Electrical and Computer Engineering, Electrical and Electronics Engineering, Engineering (General), Engineering (Other), Materials Engineering, Mechanical Engineering, English Language and Literature (General), Foreign Languages and Literatures (General), Behavioral Aspects of Health, Clinical Laboratory Science/Medical Technology/Technologist, Clinical Nutrition/Nutritionist, Clinical/Medical Social Work, Dental Clinical Sciences (General), Dentistry, Genetic Counseling/Counselor, Health and Medical Administrative Services (Other), Health and Wellness (General), Health/Health Care Administration/Management, Health/Medical Physics, Medicine, Nuclear Medical Technology/Technologist, Nursing Practice, Nursing Science, Occupational Therapy/Therapist, Optometry, Patient Safety and Healthcare Quality, Physical Therapy/Therapist, Physician Assistant, Public Health (General), Registered Nursing/Registered Nurse, Rehabilitation and Therapeutic Professions (Other), History (General), Corrections and Criminal Justice (Other), Cyber/Computer Forensics and Counterterrorism, Forensic Science and Technology, General Studies, Liberal Arts and Sciences (General) Studies and Humanities (Other), Applied Mathematics (General), Mathematics (General), Intercultural/Multicultural and Diversity Studies, Multi/Interdisciplinary Studies (Other), Nutrition Sciences, Systems Science and Theory, Philosophy, Chemistry (General), Materials Science, Physics (General), Psychology (General), Public Administration, Social Work, Anthropology (General), Anthropology (Other), Political Science and Government (General), Social Sciences (Other), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General), Musical Theatre"
100690, Amridge University,-86.17401,32.362609,"Business Administration and Management (General), Human Resources Management/Personnel Administration (General), Management Information Systems and Services (Other), Organizational Leadership, Higher Education/Higher Education Administration, Family and Community Services, Human Development and Family Studies (General), Marriage and Family Therapy/Counseling, Criminal Justice/Safety Studies, Multi/Interdisciplinary Studies (General), Christian Studies, Bible/Biblical Studies, Divinity/Ministry, Pastoral Studies/Counseling, Religious Education, Theological and Ministerial Studies (Other)"
100706, University of Alabama in Huntsville,-86.640449,34.724557,"Biology/Biological Sciences (General), Biotechnology, Accounting, Business Administration and Management (General), Business/Managerial Economics, Finance (General), Logistics/Materials/Supply Chain Management, Management Information Systems (General), Management Science, Marketing/Marketing Management (General), Communication (General), Speech Communication and Rhetoric, Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Modeling/Virtual Environments and Simulation, Elementary Education and Teaching, Secondary Education and Teaching, Teacher Education/Multiple Levels, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Computer Engineering (Other), Electrical and Electronics Engineering, Engineering (General), Engineering (Other), Industrial Engineering, Mechanical Engineering, English Language and Literature (General), Writing (General), Foreign Languages and Literatures (General), Nursing Practice, Registered Nursing/Registered Nurse, History (General), Applied Mathematics (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Philosophy, Atmospheric Sciences and Meteorology (General), Chemistry (General), Physical Sciences (Other), Physics (General), Applied Behavior Analysis, Psychology (General), Public Administration, Political Science and Government (General), Sociology (General), Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
100724, Alabama State University,-86.295677,32.364317,"Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Microbiology (General), Accounting, Business Administration and Management (General), Finance (General), Marketing/Marketing Management (General), Speech Communication and Rhetoric, Computer Science, Computer/Information Technology Services Administration and Management (Other), Information Science/Studies, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Elementary Education and Teaching, Music Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education/Multiple Levels, Bioengineering and Biomedical Engineering, English Language and Literature (General), Health Information/Medical Records Administration/Administrator, Occupational Therapy/Therapist, Orthotist/Prosthetist, Physical Therapy/Therapist, Rehabilitation and Therapeutic Professions (Other), Vocational Rehabilitation Counseling/Counselor, History (General), Criminal Justice/Safety Studies, Criminalistics and Criminal Science, Forensic Science and Technology, Mathematics (General), Multi/Interdisciplinary Studies (Other), Parks/Recreation/Leisure Facilities Management (General), Chemistry (General), Forensic Chemistry, Psychology (General), Public Administration and Social Service Professions (Other), Social Work, Political Science and Government (General), Art/Art Studies (General), Dance (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
100751, The University of Alabama,-87.545978,33.211875,"AfricanAmerican/Black Studies, American/United States Studies/Civilization, Women's Studies, Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Microbiology (General), Accounting, Business Administration and Management (General), Business Statistics, Business/Commerce (General), Business/Managerial Economics, Finance (General), Hospitality Administration/Management (General), Management Information Systems (General), Management Science, Marketing/Marketing Management (General), Taxation, Advertising, Communication and Media Studies (Other), Journalism (Other), Public Relations/Image Management, Radio/Television/Digital Communication (Other), Speech Communication and Rhetoric, Computer and Information Sciences (General), Counselor Education/School Counseling and Guidance Services, Educational Leadership and Administration (General), Educational Statistics and Research Methods, Educational/Instructional/Curriculum Supervision, Educational/Instructional Technology, Elementary Education and Teaching, Higher Education/Higher Education Administration, Music Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Architectural Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Construction Engineering, Electrical and Electronics Engineering, Electrical/Electronics/Communications Engineering (Other), Environmental/Environmental Health Engineering, Materials Engineering, Mechanical Engineering, Metallurgical Engineering, Creative Writing, English Language and Literature (General), Apparel and Textiles (General), Early Childhood and Family Studies, Family and Community Services, Family and Consumer Sciences/Human Sciences (General), Family Resource Management Studies (General), Human Development and Family Studies (General), Human Nutrition, Foreign Languages and Literatures (General), Romance Languages/Literatures/Linguistics (General), Spanish Language and Literature, Athletic Training/Trainer, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Community Health and Preventive Medicine, Health Professions and Related Clinical Sciences (Other), Mental Health Counseling/Counselor, Nursing Practice, Public Health (General), Public Health (Other), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, Vocational Rehabilitation Counseling/Counselor, History (General), Law, Tax Law/Taxation, Library and Information Science, Applied Statistics (General), Mathematics (General), Multi/Interdisciplinary Studies (General), Environmental Science, Exercise Science and Kinesiology, Sports/Kinesiology/Physical Education/Fitness (Other), Philosophy, Religion/Religious Studies, Chemistry (General), Geology/Earth Science (General), Materials Science, Physics (General), Educational Psychology, Psychology (General), School Psychology, Public Administration, Social Work, Anthropology (General), Criminology, Econometrics and Quantitative Economics, Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Art History/Criticism and Conservation, Dance (General), Drama and Dramatics/Theatre Arts (General), Fine Arts and Art Studies (Other), Fine/Studio Arts (General), Interior Design, Music (General), AfricanAmerican/Black Studies, American/United States Studies/Civilization, Women's Studies, Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Microbiology (General), Accounting, Business Administration and Management (General), Business Statistics, Business/Commerce (General), Business/Managerial Economics, Finance (General), Hospitality Administration/Management (General), Management Information Systems (General), Management Science, Marketing/Marketing Management (General), Taxation, Advertising, Communication and Media Studies (Other), Journalism (Other), Public Relations/Image Management, Radio/Television/Digital Communication (Other), Speech Communication and Rhetoric, Computer and Information Sciences (General), Counselor Education/School Counseling and Guidance Services, Educational Leadership and Administration (General), Educational Statistics and Research Methods, Educational/Instructional/Curriculum Supervision, Educational/Instructional Technology, Elementary Education and Teaching, Higher Education/Higher Education Administration, Music Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Architectural Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Construction Engineering, Electrical and Electronics Engineering, Electrical/Electronics/Communications Engineering (Other), Environmental/Environmental Health Engineering, Materials Engineering, Mechanical Engineering, Metallurgical Engineering, Creative Writing, English Language and Literature (General), Apparel and Textiles (General), Early Childhood and Family Studies, Family and Community Services, Family and Consumer Sciences/Human Sciences (General), Family Resource Management Studies (General), Human Development and Family Studies (General), Human Nutrition, Foreign Languages and Literatures (General), Romance Languages/Literatures/Linguistics (General), Spanish Language and Literature, Athletic Training/Trainer, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Community Health and Preventive Medicine, Health Professions and Related Clinical Sciences (Other), Mental Health Counseling/Counselor, Nursing Practice, Public Health (General), Public Health (Other), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, Vocational Rehabilitation Counseling/Counselor, History (General), Law, Tax Law/Taxation, Library and Information Science, Applied Statistics (General), Mathematics (General), Multi/Interdisciplinary Studies (General), Environmental Science, Exercise Science and Kinesiology, Sports/Kinesiology/Physical Education/Fitness (Other), Philosophy, Religion/Religious Studies, Chemistry (General), Geology/Earth Science (General), Materials Science, Physics (General), Educational Psychology, Psychology (General), School Psychology, Public Administration, Social Work, Anthropology (General), Criminology, Econometrics and Quantitative Economics, Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Art History/Criticism and Conservation, Dance (General), Drama and Dramatics/Theatre Arts (General), Fine Arts and Art Studies (Other), Fine/Studio Arts (General), Interior Design, Music (General)"
100812, Athens State University,-86.964698,34.806793,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Human Resources Management/Personnel Administration (General), Logistics/Materials/Supply Chain Management, Management Information Systems (General), Purchasing/Procurement/Acquisitions and Contracts Management, Science/Technology Management, Computer and Information Sciences (General), Information Technology, Education (Other), Elementary Education and Teaching, Kindergarten/Preschool Education and Teaching, Physical Education Teaching and Coaching, Special Education and Teaching (General), Technical Teacher Education, English Language and Literature (General), Health Professions and Related Clinical Sciences (Other), Health/Health Care Administration/Management, History (General), Criminal Justice/Safety Studies, Crisis/Emergency/Disaster Management, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Behavioral Sciences, Sport and Fitness Administration/Management, Religion/Religious Studies, Psychology (General), Political Science and Government (General), Social Sciences (General), Sociology (General), Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General)"
100830, Auburn University at Montgomery,-86.177544,32.36736,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Business/Commerce (General), Entrepreneurship/Entrepreneurial Studies, Finance (General), Human Resources Management/Personnel Administration (General), International Business/Trade/Commerce, Marketing/Marketing Management (General), Organizational Leadership, Speech Communication and Rhetoric, Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Information Technology, Counselor Education/School Counseling and Guidance Services, Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, Secondary Education and Teaching, Special Education and Teaching (General), English Language and Literature (General), Rhetoric and Composition/Writing Studies (Other), Foreign Languages and Literatures (General), Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Clinical/Medical Laboratory Technician, Health/Health Care Administration/Management, Nursing Practice, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Homeland Security, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Multi/Interdisciplinary Studies (General), Environmental Science, Exercise Science and Kinesiology, Chemistry (General), Psychology (General), Public Administration, Applied Economics, Economics (General), Geographic Information Science and Cartography, Political Science and Government (General), Sociology (General), Art/Art Studies (General)"
100858, Auburn University,-85.488258,32.599378,"Agricultural Business Technology/Technician, Agricultural Communication/Journalism, Agricultural Economics, Agriculture (General), Agronomy and Crop Science, Animal Sciences (General), Aquaculture, Food Science, Horticultural Science, Plant Sciences (Other), Poultry Science, Veterinary Medicine, Architecture, City/Urban/Community/Regional Planning, Environmental Design/Architecture, Interior Architecture, Landscape Architecture, Real Estate Development, Biology/Biological Sciences (General), Biomedical Sciences (General), Biotechnology, Exercise Physiology and Kinesiology, Genetics (General), Marine Biology and Biological Oceanography, Medical Microbiology and Bacteriology, Neuroscience, Accounting, Business Administration and Management (General), Business/Managerial Economics, Finance (General), Hospitality Administration/Management (General), International Business/Trade/Commerce, Logistics/Materials/Supply Chain Management, Management Information Systems (General), Management Science, Marketing/Marketing Management (General), Communication and Media Studies (Other), Journalism, Mass Communication/Media Studies, Public Relations/Image Management, Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Data Modeling/Warehousing and Database Administration, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Educational Statistics and Research Methods, Educational/Instructional Technology, Elementary Education and Teaching, English/Language Arts Teacher Education, Foreign Language Teacher Education, Mathematics Teacher Education, Music Teacher Education, Science Teacher Education/General Science Teacher Education, Secondary Education and Teaching, Social Science Teacher Education, Special Education and Teaching (Other), Teacher Education/Multiple Levels, Technical Teacher Education, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Architectural Engineering, Biological/Biosystems Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Computer Software Engineering, Electrical and Electronics Engineering, Engineering (General), Engineering (Other), Industrial Engineering, Materials Engineering, Mechanical Engineering, Polymer/Plastics Engineering, Engineering/Industrial Management, English Language and Literature (General), Professional/Technical/Business/Scientific Writing, Apparel and Textile Marketing Management, Child Development, Family and Community Services, Family and Consumer Sciences/Human Sciences (Other), Human Development/Family Studies/Related Services (Other), French Language and Literature, German Language and Literature, Spanish Language and Literature, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Clinical Laboratory Science/Medical Technology/Technologist, Clinical/Medical Laboratory Science and Allied Professions (Other), Health/Health Care Administration/Management, Nursing Practice, Pharmaceutics and Drug Design, Pharmacy, Registered Nursing/Registered Nurse, Vocational Rehabilitation Counseling/Counselor, History (General), Legal Studies, Liberal Arts and Sciences (General) Studies and Humanities (Other), Applied Mathematics (General), Mathematics (General), Statistics (General), Multi/Interdisciplinary Studies (General), Nutrition Sciences, Environmental Science, Environmental/Natural Resource Recreation and Tourism, Environmental/Natural Resources Management and Policy (General), Forest Sciences and Biology, Forestry (Other), Natural Resources/Conservation (General), Wildlife/Fish and Wildlands Science and Management, Philosophy, Chemistry (General), Geological and Earth Sciences/Geosciences (Other), Geology/Earth Science (General), Physics (General), Clinical Psychology, Counseling Psychology, Industrial and Organizational Psychology, Psychology (General), Public Administration, Social Work, Anthropology (General), Applied Economics, Criminology, Economics (General), Geographic Information Science and Cartography, Geography, Political Science and Government (General), Sociology (General), Airline/Commercial/Professional Pilot and Flight Crew, Aviation/Airway Management and Operations, Design and Applied Arts (Other), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Industrial and Product Design, Interior Design, Music (General)"
100937, Birmingham-Southern College,-86.850552,33.513774,"Architecture and Related Services (Other), Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Communication and Media Studies (Other), Computer and Information Sciences/ Other, Teacher Education/Multiple Levels, PreEngineering, English Language and Literature (General), Spanish Language and Literature, Health Services/Allied Health/Health Sciences (General), History (General), Financial Mathematics, Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Studies, Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Economics (General), Political Science and Government (General), Social Sciences (Other), Sociology (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music (General), Musical Theatre"
